Title,Description,Location,Min Education,Min Experience
Data Engineer  ,"Title: Data Engineer Business Unit: SmartZip You should thrive in a fast-paced, team-oriented environment, take initiative, be passionate about innovating creative solutions and problem-solving, have excellent communication skills, and the drive to deliver quality data. Every day will bring new and exciting challenges on the job while you: Learn and use groundbreaking technologies Apply advanced troubleshooting techniques to provide unique solutions to our customers individual needs Build, scale, maintain, and run data pipelines for publication of data internally and externally Maintain and debug Elastic Map Reduce (using Hive/Impala/Spark) jobs Work directly with data support analysts to help reproduce and resolve critical, highly complex customer problems that may span multiple SmartZip products and services Perform exploratory data analysis to answer various business questions, putting the evidence, potential impacts, and action items together into a non-technical fashion, then reporting directly to stakeholders Required Qualifications : Bachelors degree in Information Science / Information Technology, Computer Science, Engineering, Mathematics, Physics, or a related field, or 3+ years of experience in a technical position Proficient understanding of: Apache Spark, Scala, R, and JAVA Experience with AWS (including EC2, S3, EBS, RDS, Redshift, EMR) Relational database experience Strong SQL scripting and optimization experience Additional Preferred Qualifications: Strong UNIX system administrator skills along with system monitoring, analysis, and scripting Customer service experience / strong customer focus Basic coding/scripting ability in shell, Ruby, and Python Good understanding of distributed computing environments Exposure to security concepts / best practices Exposure or experience in Jenkins, Airflow, or similar CI/CD platforms Excellent oral and written communication skills Strong analysis and troubleshooting skills and experience Exciting Benefits we offer: Market-leading Salary Medical Coverage – Self & Dependents Parents Medical Coverage Provident Fund Employee Performance-based bonuses Home Internet Subsidy Conveyance Allowance Profit Sharing Plan [Tenured Employees Only] Life Benefit Child Care Facility Company Provided Lunch/Dinner Professional Development Budget Recreational area for in-house games Sporadic On-shore training opportunities Friendly work environment Leave Encashment",Lahore,Bachelors,3 Years
SQA Trainee  ,"The Division: Innovative software solutions from IDS empower Dealerships with information to effectively manage and grow their business. Our software helps our Dealerships clients to position themselves for growth, financing, acquisition, or IPO. Our customers are among the largest RV and Marine dealerships with Constellation as their trusted technology partner. IDS commitment to dealership software is second to none, with an exceptional engineering group dedicated to innovative software development and support, and constant enhancements to our solutions. Backed by Constellation Software, we are committed to RV and Marine dealerships and the technology that powers them. The Position: The division is looking to hire three Interns/FreshGrads/Juniors to be a member of its QA team. The selected Intern would progress from training to apprenticeship, to potentially a full-time permanent employment role in the Contour Software Lahore/Karachi office, preferably in Lahore, working as part of the resource-center team, as an extension of the onshore R&D team. Required Skills & Experience: University degree in Computer Science, Information Technology, and/or related discipline. New/Recent/Soon to Graduate Computer Science & Software Engineering graduates are encouraged to apply. Familiar with the software development lifecycle and software quality assurance & testing concepts. Must have good programming/scripting knowledge and skills. Object-Oriented Programming is preferred. Knowledge and exposure to writing and executing SQL queries. Knowledge of automation testing tools is a plus. Knowledge of different application types/architecture. Ability to evaluate a system, understand complexities, identify weaknesses/bottlenecks. Must have good analytical and problem-solving skills. Excellent verbal and written communication skills in English. Key Competencies: Attention to detail Data collection, management, and analysis Problem analysis and problem-solving Planning and organizing Judgment Decision-making Teamwork Ability to think and work independently Energetic and a ""can-do” attitude Exciting Benefits we offer: Market-leading Salary Medical Coverage – Self & Dependents Parents Medical Coverage Provident Fund Employee Performance-based bonuses Home Internet Subsidy Conveyance Allowance Profit Sharing Plan [Tenured Employees Only] Life Benefit Child Care Facility Company Provided Lunch/Dinner Professional Development Budget Recreational area for in-house games Sporadic On-shore training opportunities Friendly work environment Leave Encashment",lahore,Bachelors,3 Years
SQA Analyst  ,"The Division At AMT-Sybex we are all about progression and constantly challenging and developing ourselves as individuals and as a company. We have been providing business critical solutions to customers in the utilities sector for over 20 years. We deliver scalable and reliable transactional, data handling and analytics solutions. As a company we are committed to meeting and exceeding our customers expectations such that we are first choice for continuing to provide services to them in the long term. We champion Growth from Within, both for individuals to challenge themselves to grow, seize opportunities and develop further than they may have thought possible, whilst also investing in our awesome talent as the future leaders of our business and industry. The Position We are looking to expand our R&D capabilities and building up an integrated development team and therefore looking for three SQA Analyst having strong expertise and experience in manual testing. The successful hire will be located and work out of the Contour Software Lahore office, working as part of the resource-center team, as an extension of the division-based R&D department. Main Responsibilities To understand the requirement specification. Able to create test plan/cases. Report bugs and errors to development teams. To create & execute test cases (both positive and negative). GUI testing, Functional testing, regression testing, Integration testing. Required Qualifications & Skills BS degree in computer science, software engineering or equivalent. 2-5 years of professional experience in QA and well aware of testing methodologies. Strong experience with Functional, Regression and Integration Testing. Ability to pursue tasks with minimal supervision. Good hands-on testing experience of Mobile testing. Awareness of general automation concepts and all types of testing methods. Good knowledge of API Testing, Agile methodology, SQL. Passionate about best practice software development practices and technologies. Strong English communication skills. Good documentation and organization skills. Action oriented and ability to avoid getting stuck in analysis. Analytical thinking and problem identification skills Good knowledge of database management (MS SQL). Competencies: Learning on the Fly Informing Peer Relationships Written Communications Technical Learning Priority Setting Integrity and Trust Benefits Package Contour Software is committed to provide exciting learning opportunities, quality of work, and work-life balance to its employees. Exciting Benefits we offer: Market-leading Salary Medical Coverage – Self & Dependents Parents Medical Coverage Provident Fund Employee Performance-based bonuses Home Internet Subsidy Conveyance Allowance Profit Sharing Plan [Tenured Employees Only] Life Benefit Child Care Facility Company Provided Lunch/Dinner Professional Development Budget Recreational area for in-house games Sporadic On-shore training opportunities Friendly work environment Leave Encashment",Lahore,Bachelors,3 Years - 5 Years
Senior Software Developer (PrimeFaces)  ,"THE COMPANY Within Flui Technologies, a trading name of AMT-Sybex Ltd, we are all about progression and constantly challenging and developing ourselves as individuals and as a company. We have been providing business-critical enterprise-level solutions to customers in the utility sector for over 20 years. We deliver scalable and reliable transactional, data handling and analytics solutions. As a company, we are committed to meeting and exceeding our customers expectations such that we are the first choice for continuing to provide services to them in the long term. We champion Growth from Within, both for individuals to challenge themselves to grow, seize opportunities and develop further than they may have thought possible, whilst also investing in our awesome talent as the future leaders of our business and industry. POSITION We are looking for a hands-on Senior Software Developer with an experience of Prime Faces, who will inspire and collaborate with team to ensure the effective design, development, testing and release and maintenance of our products. The chosen individual will work out of the Contour Software Karachi resource center office, as an extension of the division-based R&D department. JOB QUALIFICATIONS Essential: A Bachelors or Masters degree in Computer Science / Software Engineering or an equivalent qualification in another technical field Very strong Java programming background including Enterprise Java (e.g., JAX-WS, JDBC, EJB3, JMS) Prior experience of building UIs with PrimeFaces. Good experience of working on high volume systems Confident in authoring and analyzing SQL with proficiency in RDBMS design as well as JSON-native data storage YOUR CHARACTERISTICS Self-motivated and works well under pressure Strong problem-solving skills and ability to suggest technical solutions to problems where required Ability to work independently with little supervision Strong interviewing skills/technique Great listening and communication skills (oral and written) Strong technical, quantitative, and analytical skills Able to demonstrate strong interpersonal skills Ability to support/coach/mentor developers Business awareness, able to appreciate the business context and drivers behind the technical solution Ability to understand the overarching application landscape Always staying ahead of up-to-date technologies Ability to take ownership and deliver results Good team player, yet willing to take personal responsibility for resolution of issues Be energetic, motivated, and enthusiastic COMPETENCIES Problem Solving Technical Learning Decision Quality Developing Direct Reports and Others Drive for Results Exciting Benefits we offer: Market-leading Salary Medical Coverage – Self & Dependents Parents Medical Coverage Provident Fund Employee Performance-based bonuses Home Internet Subsidy Conveyance Allowance Profit Sharing Plan [Tenured Employees Only] Life Benefit Child Care Facility Company Provided Lunch/Dinner Professional Development Budget Recreational area for in-house games Sporadic On-shore training opportunities Friendly work environment Leave Encashment",Karachi,Bachelors,6 Years - 8 Years
SQA Analyst  ,"The Division: Harris Recording Solutions is a business unit of Harris Computer Systems (a subsidiary of Constellation Software Inc.), which provides utility, public sector, schools and health care software solutions to over 66,500 customers. It has more than 100 office locations and 4,750 employees. Harris Recording Solutions (HRS) provides a full suite of revolutionary software for County Clerks, County Recorders, and County and Municipal Courts. These software solutions allow our customers to automate the recording process, delivering significant reductions in document handling and processing times. The Position: We are seeking to hire a SQA Analyst, with hands on experience and expertise in manual testing, to help ensure that new software development and issue resolutions are ready for release to our customers. High-level responsibilities include analyzing requirements, developing test plans, staging test data, running tests, documenting results, tracking issues, and verifying that all information about each modification is documented correctly. This role is responsible for creating and/or maintaining an end-to-end test plan, executing the plan, and managing all activities in the plan to ensure that all the objectives are met, and that the solution works as expected. Working out of the Contour Software Lahore office, the successful hire will collaborate with team members located in the same office as well as onshore. Job Qualifications/Requirements: University degree in Computer Science, Information Systems or related discipline or equivalent industry experience. 3-5 Years of Professional Testing Experience with customer-facing enterprise applications and mobile applications. Knowledge of web-based technologies like HTML, CSS, XML, JavaScript, .NET Framework, etc. Hands on experience with manual testing, by applying various testing techniques including functional, regression, integration, UI etc. Hand on experience with managing and maintaining test documentation, test cases, test matrices etc. Hands-on with SQL query language and relational databases. Strong ability to understand business processes/logic and think outside the box for testing applications. Excellent verbal and written communication skills. Ability to escalate issues to the relevant teams in a timely manner. Ability to perform comfortably in a fast-paced, deadline-oriented work environment. Ability to work with minimal supervision. Good to have knowledge on automation tools like, TestComplete etc. Responsibilities include: Analyzing software requirements and technical specifications. Participating in requirement and design review meetings. Developing, documenting, and maintaining application test plans based on business requirements and technical specifications. Creating test cases including detailing expected results. Creating and staging test data. Executing complex functional, application, and regression tests. Recording and documenting results including anomalies and issues. Ensuring compliance with general programming best practices and web standards. Working closely with the Project Manager and Software Development team members to ensure all software bugs are caught in house before the software is delivered to the customer. Attending daily stand-ups and providing timely status reports. Using a variety of software tools to facilitate efficient and effective testing. Writing SQL queries as needed to evaluate data and verify expected results. Exciting Benefits we offer: Market-leading Salary Medical Coverage – Self & Dependents Parents Medical Coverage Provident Fund Employee Performance-based bonuses Home Internet Subsidy Conveyance Allowance Profit Sharing Plan [Tenured Employees Only] Life Benefit Child Care Facility [Karachi & Lahore only] Company Provided Lunch/Dinner Professional Development Budget Recreational area for in-house games [Karachi & Lahore only] Sporadic On-shore training opportunities Friendly work environment Leave Encashment",Lahore,Bachelors,2 Years - 4 Years
Website Technical Support Specialist  ,"The Division: Constellation1 a part of Constellation Real Estate Group , is a real estate marketing company that provides industry leading top real estate websites, mobile technologies, interactive voice response systems, and home builder marketing services. Constellation1, is the leading provider of truly integrated technology, media and data solutions to real estate franchisors, brokerages, agents, lenders, and service providers. We're clear about what we want to do: Innovate in real estate. Not in pursuit of some larger business strategy, but in pursuit of making this industry – our industry – better. We don't just sell technology. We work closely with clients and partners to identify problems, develop solutions and present opportunities. Our culture encourages collaboration, breakthrough thinking and work that makes a lasting difference. We reward initiative and informed decisions and empower you to act in the best interests of our customers and our company. Our decisions are guided by our key principles of: Putting Customers First, having a Bias for Action, Failing Fast, Innovating and Breaking Paradigms, and Creating Sustainable results. Here at Constellation1, we recognize that our past, present, and future success is driven by the passionate and talented people we employ, and we are always looking for smart, dedicated people to join our teams. We put a priority on not simply hiring incredible people, but retaining them with engaging, challenging jobs – as well as a respect for the importance of balance and work-life integration. Division Link: https://constellation1.com/ The Position: Constellation1 is looking for a Website Technical Support Specialist who is career oriented, passionate, and hard working. This role will work with our clients who represent the largest real estate companies in North America and our internal technical teams to identify, diagnose and solve issues related to our software products. This is a growth-oriented role, where you will resolve web or CRM based issues of increasing difficulty as your knowledge grows, acquiring programming and database skills on the job. This role can funnel in many directions with us, including QA, Database, and Applications Development - we love to promote from within, and we'll teach you the skills to continue moving your career forward. The successful candidate will work from our Contour Lahore Office. Skills and Qualifications: Must be enthusiastic and energetic with outstanding command of English (verbal and written). Previous experience and superior customer/helpdesk service skills. Strong multi-tasking and organizational skills with ability to meet deadlines. Provide product knowledge to existing clients and suggest upgrades when appropriate. Primary duties include: Support and Troubleshoot the software via telephone or ticketing solution Respond to clients inquiring how to use supported software Respond to clients and personnel requests for basic technical support related to supported software and operating systems Participate in the ""call duty” schedule to handle after-hours inquires Document, track and monitor calls and problems to ensure timely resolution Create and monitor the Tickets to ensure all service requests are being managed effectively Be a point of contact for customer support on Constellation1's Website products Lead a team of offshore based support technicians responsible for support, training, and customer communications Clear, concise, professional, thorough verbal and written communication skills to assist in troubleshooting client issues. Site implementation, set up, and User Training Assist in developing and maintenance of product documentation for client facing knowledgebase Troubleshoot and resolve user issues using SQL, HTML, CSS, Javascript, JQuery, JSON skills Use SQL scripting to run client exports/report activities Assist enterprise clients with issues, work with Dev and QA team to achieve quick client issue resolutions Log all incidents and Engineering escalations in ticketing systems Serve as an escalation point and backup to the Director of Client Services, including client notifications on critical issues when necessary Prioritize incoming support issues from support and account management, by working as the intermediary between these groups and engineering Educational/Technical Requirements: Minimum of 2-5-year experience working in a technical support environment Proficient in SQL databases Fluent in verbal and written English Bachelor's Degree, preferably in a technical discipline. Computer Science Majors most preferred. 3+ years' customer support/service experience & 1+ years' technical support experience will be considered in lieu of a technical education. Exposure to Real Estate, Transaction Management, or CRM would fast track your progress MS-SQL experience required Good knowledge of HTML, CSS, Javascript, JQuery, JSON, C#, and .NET Framework preferred. Defect reporting and tracking for web and mobile software Ability to interface with Account Managers and client help desks to document issues and facilitate resolution. Ability to multi-task, follow exacting processes and procedures and take direction positively. Exceptional communication skills and ability to promote a positive interactive exchange. Ability to work in a fast-paced environment and quickly adapt to process changes. Work Shift: 8 AM to 6 PM Central Standard Time zone (9 PM to 6 AM Pakistan Standard Time) Exciting Benefits we offer: Market-leading Salary Medical Coverage – Self & Dependents Parents Medical Coverage Provident Fund Employee Performance-based bonuses Home Internet Subsidy Conveyance Allowance Profit Sharing Plan [Tenured Employees Only] Life Benefit Child Care Facility Company Provided Lunch/Dinner Professional Development Budget Recreational area for in-house games Sporadic On-shore training opportunities Friendly work environment Leave Encashment",Lahore,Bachelors,2 Years
SQA Trainee  ,"The Division Artifax Software is a division of Volaris and its parent company, Constellation Software , which serves over 125,000 customers in over 100 countries relying on its innovative public and private sector software solutions. Based in the United Kingdom, and established more than 30 years' ago, Artifax Software is a dynamic, industry-leading cloud software company, developing, supporting, and delivering solutions and services for venue and event management. Primarily working with organisations within the arts and cultural sector. Artifax supports household names globally including theatres, concert halls, arts centres, festivals, museums, galleries, visitor attractions and places of worship. We are innovative and entrepreneurial, always looking for new ways to improve our software and services. Supporting over 400 customers worldwide, we are part of Volaris Group, a global family of more than 450 software companies, owned by a publicly traded multi-billion-dollar organisation. This allows us to benefit from a wide network of specialist knowledge, resource, and expertise. With significant growth plans in the UK and globally, this is a fantastic time to join the team. The Position: The division is looking to hire one Intern/Fresh Grads to be a member of its QA team. The selected interns would progress from training to apprenticeship, to potentially a full-time permanent employment role in the Contour Software Karachi/Islamabad/Lahore office, working as part of the resource-center team, as an extension of the onshore R&D team. Required Skills & Experience: University degree in Computer Science, Information Technology, and/or related discipline. New/Recent/Soon to Graduate Computer Science & Software Engineering graduates are encouraged to apply. Familiar with the software development lifecycle and software quality assurance & testing concepts. Must have good programming/scripting knowledge and skills. Object-Oriented Programming is preferred. Knowledge and exposure to writing and executing SQL queries. Knowledge of automation testing tools is a plus. Knowledge of different application types/architecture. Ability to evaluate a system, understand complexities, and identify weaknesses/bottlenecks. Must have good analytical and problem-solving skills. Excellent verbal and written communication skills in English. Key Competencies: Attention to detail Data collection, management, and analysis Problem analysis and problem-solving Planning and organizing Judgment Decision-making Teamwork Ability to think and work independently Energetic and a ""can-do” attitude Exciting Benefits we offer: Market-leading Salary Medical Coverage – Self & Dependents Parents Medical Coverage Provident Fund Employee Performance-based bonuses Home Internet Subsidy Conveyance Allowance Profit Sharing Plan [Tenured Employees Only] Life Benefit Child Care Facility Company Provided Lunch/Dinner Professional Development Budget Recreational area for in-house games Sporadic On-shore training opportunities Friendly work environment Leave Encashment",Islamabad,Bachelors,3 Years
Software Development Architect  ,"The Division Markinson is a well-established Australian based business, dedicated to the creation and provision of robust and scalable software solutions that empower business transformation and growth. Ultimately we deliver reliability and confidence in the form of software solutions that enable businesses and their people to work smarter instead of harder. Our primary solutions include Enterprise Resource Planning (ERP) software suites for Wholesale Distribution and light Manufacturing, as well as Retail and Association Management Systems (RMS & AMS). Some of our specialized industries include the Automotive Aftermarket, BCF, Electrical and Industrial Supplies. We delight in our 30+ year history partnering closely with both customers and industry, enabling them to better manage operations, analyses information, leverage relationships, streamline processes, optimize delivery, and find more time for fun. Now as part of Constellation Software Inc. via its operating group Vela Asia Pacific, we enjoy the additional benefit of a strong corporate support network and further investment potential The Position We are looking for a Software Development Architect. This position's responsibility does not stop at programming; it also encompasses building your knowledge of our business and expertise with the entire software development lifecycle, and helping educate, monitor, and report on team performance & process. It encompasses both hands-on software development activities as well as accountability for the overall process and delivery of software, including actively contributing and driving continuous improvement initiatives. Roles and Responsibilities Assist in planning and coordinating work for the assigned product team Actively look to provide insight on any and all aspects of both hands-on coding quality considerations, and overall application design and best practices Optimize and execute work in an effective way to ensure adherence to timelines and deliverables Deliver high-quality, well-tested code using prescribed specifications and automation as much as possible Ensures that company coding standards, concepts, practices, and procedures are followed Models excellence in attitude and approach to work items and inspires confidence among peers Highly approachable by team members at all levels and provides advice and guidance in a positive and respectful manner Perform Code reviews and analysis of the product team's work to ensure quality. Ensure process and standards documentation is continuously amended and improved as necessary and is delivered in a way that is easy to find, and easy for other product team members to understand Keep up to date with latest technologies and recommend training/direction of the overall team Perform other duties as assigned. Required Skills and Qualification Bachelor or Master's Degree in Computer Science, Computer/Software Engineering, or equivalent post-secondary education 8+ years internal and/or related development experience Experience of building enterprise level applications using C#/.NET, React/CSS/HTML/TypeScript, T-SQL/SQL Server A strong interest in using modern technology to solve complex problems Strong understanding of software development architecture and frameworks for building scalable enterprise applications. Solid software engineering foundation with deep skills in Object Oriented Development A passion for detail and developing quality software Experience with implementation of webservices interfaces using REST APIs Experience with CI/CD automation utilising Azure DevOps Ability to communicate complex technical information to various parties including non-technical members of the organization. Personal Traits Creative problem-solver with a high level of energy and enthusiasm who strives to excel Pro-active self-starter who can work independently or collaboratively Logical analyst with good attention to detail and strong technical expertise Inspiring leader who provides advice and guidance in a positive manner Strong communicator with effective written and verbal interpersonal skills Exciting Benefits we offer: Market-leading Salary Medical Coverage – Self & Dependents Parents Medical Coverage Provident Fund Employee Performance-based bonuses Home Internet Subsidy Conveyance Allowance Profit Sharing Plan [Tenured Employees Only] Life Benefit Child Care Facility Company Provided Lunch/Dinner Professional Development Budget Recreational area for in-house games Sporadic On-shore training opportunities Friendly work environment Leave Encashment",Islamabad,Bachelors,8 Years - 10 Years
SDET(Selenium/C#)  ,"The Division: Jonas Premier Construction - a division of Constellation Software Inc. – is the market-leading cloud-based integrated construction management solution, for mid-sized General Contractors, Design Builders and Land Developers. Constellation companies are leading developers of technology solutions for vertical markets in North America, Europe, and Australia. Jonas Software is the valued technology partner of over 8000 customers worldwide in 15 countries. Jonas is headquartered in Canada and operates offices in the United States, the United Kingdom, and the Caribbean. The Position: We are looking to hire a Software Development Engineer in Test (SDET), with a strong background in Test Automation (using Selenium, C# & NUnit), as well as in Manual Testing, to work as part of the JPC R&D team to help ensure high quality and timely delivery of releases. Working out of the Contour Software Lahore office, the successful hire will collaborate with team members in the same office and those in Markham, Canada. Qualifications & Skills: University degree in Computer Science or a related discipline 3-7 years of formal QA/Test Automation experience, working on customer-facing enterprise-level software solutions Strong background in Test Automation using Selenium, Visual Studio/C# & NUnit Extensive background in Test Documentation and Manual Testing Ability to create Test Automation frameworks Excellent command of English (written and verbal) Experience working with Azure DevOps or Jenkins for creating pipelines Experience with Microsoft SQL Server and/or Oracle with the ability to write complex SQL statements. Strong familiarity with software lifecycle and quality assurance concepts, testing, approaches, and planning Strong ability to understand business processes and logic Ability to perform comfortably in a fast-paced, deadline-oriented agile work environment Familiarity with the Construction Industry will be a plus Responsibilities (not limited to the following): Collaborate with testers, developers to create detailed, comprehensive, and well-structured test plans and test cases Grow, Maintain and Enhance existing Test Automation Framework and Test Scripts to increase/extend automation coverage Execute tests manually when required Review requirements specifications and technical design documents to provide timely and meaningful feedback Estimate, prioritize, plan, and coordinate testing activities Design, develop and execute automation scripts on different releases/versions Create concise, easily understandable defect reports Coordinate/participate in meetings with the on-shore team on day to day basis and provide active feedback Perform any other responsibilities assigned by the on-shore Managers Exciting Benefits we offer: Market-leading Salary Medical Coverage – Self & Dependents Parents Medical Coverage Provident Fund Employee Performance-based bonuses Home Internet Subsidy Conveyance Allowance Profit Sharing Plan [Tenured Employees Only] Life Benefit Child Care Facility Company Provided Lunch/Dinner Professional Development Budget Recreational area for in-house games Sporadic On-shore training opportunities Friendly work environment Leave Encashment",Lahore,Bachelors,3 Years - 7 Years
Senior Software Developer  ,"THE DIVISION AMT-SYBEX has been providing business critical solutions to customers in the energy, utilities and transport sectors for over 20 years. We deliver scalable and reliable transactional, data handling and analytics solutions to energy sector clients, plus EAM and Mobile Field Workforce solutions to a range of asset-centric companies. We operate a number of independent Business Units: Leasepoint – Aviation Leasing solutions Flow – Energy solutions Enterprise Asset Management and Mobile As part the Jonas Group of companies, we offer excellent opportunities for progression throughout UK and globally. POSITION: Reporting to the Technical Project Manager, we are looking for a hands-on senior developer, who will inspire and collaborate with team to ensure the effective design, development, testing and release and maintenance of our products. Adopting agile methodology, encourage continuous improvement of our products, toolsets and processes. The ideal fit for the company is a personable Developer with at least four years of experience. The team work with modern tech and promote software development best practices so they are keen for Developers that can produce clean quality code. The chosen individual will work out of the Contour Software Karachi resource center office, as an extension of the division-based R&D department. JOB RESPONSIBILITIES: Accountable for ensuring the completion of User Stories are in line with the sprint schedule Report to the TPM on progress towards overall running Projects Liaise with the Product Owner on progress Responsible for ensuring the development meets expected company standards (e.g., development documentation standards) Assigning tasks to junior developers such as coding, testing, debugging, and analytics. Conducting feasibility studies for upgraded software systems. Working with offshore and onshore delivery teams Maintaining and supporting Flow products and improving the performance of existing software Work collaboratively with test teams agreeing test cases JOB QUALIFICATIONS: Essential: A Bachelors or Masters degree in Computer Science / Software Engineering or an equivalent qualification in another technical field. Knowledge of Enterprise Java/Scala technology stacks Development of high-performance code in Java in a multi-core environment Minimum four years development experience Personable with the ability to build effective working relationships with team members Experience with Scala, or other functional programming paradigm Candidates with no prior experience on Scala must be willing to learn Desirable: Awareness of Agile/Scrum and Waterfall, Test-Driven Development (TDD) Websphere development Familiarity with some of the following frameworks/specification: JAX-WS, JDBC, EJB3, JMS, Spring, Hibernate. Exposure to one or more of the following application server systems: WebSphere, JBOSS, Weblogic, NetWeaver. Exposure to one or more of the following RDBMS: Oracle, SQL Server, PostgreSQL. Experience of code management using git Experience with Azure DevOps. Experience with Maven build automation tooling Your Personal Characteristics will include: Results driven and self-motivated with a ""can-do” attitude and determination to get software deployed Ability to support/coach developers both onshore and offshore Both willing and keen to learn new technologies Self-motivated and works well under pressure Strong problem-solving skills and ability to suggest technical solutions to problems where required Ability to work independently with little supervision Good listening and communication skills (oral and written) Strong technical, quantitative, and analytical skills. The ability to take ownership and deliver results Good team player, yet willing to take personal responsibility for resolution of issues Be energetic, motivated, and enthusiastic COMPETENCIES: Process Management Dealing with Ambiguity Creativity Problem Solving Technical Learning Decision Quality Priority Setting Developing Direct Reports and Others Exciting Benefits we offer: Market-leading Salary Medical Coverage – Self & Dependents Parents Medical Coverage Provident Fund Employee Performance-based bonuses Home Internet Subsidy Conveyance Allowance Profit Sharing Plan [Tenured Employees Only] Life Benefit Child Care Facility Company Provided Lunch/Dinner Professional Development Budget Recreational area for in-house games Sporadic On-shore training opportunities Friendly work environment Leave Encashment",lahore,Null,4 Years - 8 Years
SQA Analyst  ,"The Division: Trapeze North America, a division of Constellation Software Inc., provides enterprise solutions that consider the full 360 degrees of transport. The company has grown its solution portfolio and global presence to become one of the world's leading companies of software solutions and intelligent transport systems. Trapeze Group provides its solutions to public and private transport organizations and authorities across Europe, North America, and the Asia Pacific. The Position: We are looking to hire a strong SQA Analyst having experience and expertise in manual testing. Candidate must display excellent written and oral skills with demonstrated interpersonal and organization abilities and must be able to work in a varied, fast-paced agile environment. The selected candidate will work from Contour Software-Karachi office, as part of the resource-center team, as an extension of the division-based R&D department located in North America. Education & Skills Required: Bachelor's Degree in computer science, Information Systems, or equivalent technical Degree; or equivalent combination of education and experience. 3-5 years of professional experience in manual capacity. Skilled in test documentation/cases, management of testing suites for different versions/products. Strong in manual testing techniques, s/he can test a system from frontend and from backend side. Experience in API testing with Postman. Good hands-on with database such as MSSQL. Knowledge/skills of defect life cycle, defect management and reporting. Ability to understand business process/logic. Ability to escalate issues to the relevant teams in a timely manner. Sound knowledge of Software Development Life Cycle (SDLC). Good planning, organization and task management skills. Must be a good team player. Ability to focus on detail. Excellent oral and written communication skills in English. Good troubleshooting abilities. Knowledge/Experience on automation is a plus. Exciting Benefits we offer: Market-leading Salary Medical Coverage – Self & Dependents Parents Medical Coverage Provident Fund Employee Performance-based bonuses Home Internet Subsidy Conveyance Allowance Profit Sharing Plan [Tenured Employees Only] Life Benefit Child Care Facility Company Provided Lunch/Dinner Professional Development Budget Recreational area for in-house games Sporadic On-shore training opportunities Friendly work environment Leave Encashment",Karachi,Bachelors,3 Years - 5 Years
